𣆳	amlk
𣇅	amll
𠛣	amln
𠞈	amln
𣄾	amm
𩑰	ammbc
𣌜	ammhm
𣆞	ammm
𣅘	amms
𣅙	amms
𤭼	ammvn
𣄿	amn
𣤞	amno
𣌁	amoa
𣌂	amoa
𢘇	amp
𣆃	ampm
𣇗	amse
𧰮	amso
𣊥	amtf
𣇎	amun
𣉓	amvg
𣅥	amvm
𣇁	amvm
𣆧	amvu
𣈺	amwb
𣊠	amwf
𣊢	amwj
𣉋	amwv
𩉉	amwx
𣋮	amyps
𣌚	amyrf
𠃛	an
𣄻	an
𨵛	anab
𨵷	anabt
𨵒	anaht
𠕤	anai
𨴝	anaj
𨷄	anaja
𨶁	anajv
𨵶	anamh
𨵏	anami
𨷮	anann
𨷾	anann
𨵧	anbbr
𨵐	anbhe
𨶒	anbhx
𨳠	anbk
𨵻	anbla
𨵙	anbmc
𨴏	anbmr
𨴫	anbnd
𨶫	anbof
𨴀	anbr
𨷴	anbrf
𨷸	anbrf
𨵟	anbse
𨴕	anbtt
𨷱	anbuf
𨵢	anbuk
𨴼	anbuu
𨳗	anci
𨳣	ancms
𨳚	ancsh
𢡙	ancsp
𨴺	anddi
𨴨	andl
𨵾	andmb
𨵝	anea
𨳦	anee
𨶺	aneee
𨶖	anehr
𨵨	aneht
𨵔	aneir
𨶗	aneiv
𨵕	aneli
𨷉	anena
𨷇	anewt
𨵍	aneyr
𨴤	aneyv
𨳒	anf
𡮉	anf
𨷐	anfat
𨵥	anfhu
𣅴	ang
𨶮	angbt
𨷁	anggu
𨵗	anggy
𨷂	angje
𨷗	angom
𨵉	angtj
𨶠	anhaf
𨷯	anhcq
𨴷	anhds
𨵋	anhdv
𨶸	anhdw
𨳝	anhg
𨷔	anhgf
𨴬	anhgr
