眇	bufh
眫	bufq
睠	bufqu
睖	bugce
睦	bugcg
眭	bugg
瞌	bugit
瞦	bugrr
鷂	buhaf
瞗	buhaf
矈	buhas
瞅	buhdf
眅	buhe
矁	buhfp
矄	buhgf
眽	buhhv
眨	buhio
睡	buhjm
瞃	buhju
盺	buhml
颻	buhni	buhn'i
飖	buhnk	buhn'k
矀	buhok
覹	buhok
瞛	buhoo
睧	buhpa
眡	buhpm
睋	buhqi
眣	buhqo
眊	buhqu
睙	buhsk
見	buhu
矏	buhus
繇	buhvf
眡	buhvi
眂	buhvp
睥	buhwj
瞍	buhxe
睨	buhxu
睃	buice
眸	buihq
狊	buik
眬	buikp
瞊	builr
眿	buine
眙	buir
睙	buisk
矌	buitc
眓	buiv
瞋	bujbc
瞾	bujcm
眛	bujd
睵	bujir
睹	bujka
睫	bujlo
矉	bujmc
瞚	bujmc
睻	bujmm
眝	bujmn
睆	bujmu
睕	bujnu
矃	bujpn
瞎	bujqr
瞭	bukcf
睳	bukgg
覐	bukk
睎	bukkb
眱	bukn
眏	bulbk
眈	bulbu
瞣	bullp
瞜	bullv
瞶	bulmc
蜰	bulmi
眺	bulmo
瞆	bulmo
剛	buln
眒	bulwl
腨	bumb
矐	bumbg
盱	bumd
睚	bumgg
眰	bumig
盰	bumj
瞰	bumjk
眄	bumls
眎	bummf
眃	bummi
矖	bummp
盶	bummu
盯	bumn
眪	bumob
矋	bumtb
瞟	bumwf
瞫	bumwj
眐	bumym
睌	bunau
矎	bunbe
瞻	buncr
覎	bund
