𦋙	bkkwv
𦛊	bkld
𦌑	bkllv
𧕤	bklmi
𦋛	bklmy
𠜹	bkln
𦜤	bkmb
𦝦	bkmb
𦝀	bkmf
𦌞	bkmfn
𦋑	bkmfr
𠖏	bkmr
𦊍	bkmvm
𠕴	bkn
𦫬	bknau
𦡽	bknc
𠖂	bkni
𦙈	bknj
𦋜	bkog
𩀎	bkog
𦊪	bkom
𦌳	bkotq
𢜑	bkp
𦉮	bkp
𦌐	bkpog
𦊠	bkpru
𤕂	bkpuu
𨜯	bkrau
𦌨	bkref
𦍅	bkrmc
𦊞	bkrup
𦋭	bkrvc
𪓷	bkrxu
𦌱	bksfl
𦋻	bksqf
𦋱	bksql
𣍰	bkt
𦜞	bktc
𦣌	bktd
𦍊	bktjl
𦟉	bktm
𦝯	bktq
𦌴	bkvfg
𦍃	bkvfv
𦋮	bkwp
𦊣	bkwu
𦋇	bkyaj
𦋚	bkyaj
𦌼	bkybp
𦊝	bkyg
𦊬	bkyhv
𦊶	bkyhv
𧧧	bkymr
𦋬	bkyrh
𦋫	bkyta
𦌜	bkytg
𦉽	bkyv
𠖚	blam
𥂄	blbt
𠖌	bldi
𣃊	blhml
𦉫	bll
𦘶	blll
𩕢	blmbc
𩕩	blmbc
𦚭	blmi
𧉏	blmi
𪔆	blmj
𦠻	blnc
𦜦	blp
𢚿	blp
𦊉	blpu
𦛌	blq
𪔊	blqjp
𦝹	blsd
𦚤	blwo
𦛈	blwp
𦢄	blyv
𠀃	bm
𠔼	bm
𣆑	bma
𦚸	bmam
𠕔	bmb
𣍟	bmb
𦠌	bmbb
𣍭	bmbm
𦚹	bmbm
𠁠	bmbmm
𦡕	bmbu
𧠊	bmbuu
𧠢	bmbuu
𦡏	bmbv
𦚵	bmcw
𤿚	bmdhe
𦙗	bmdm
𦙀	bme
𣍾	bmeb
𦙻	bmf
𦢈	bmfb
𦜒	bmfe
