𤞈	khmom
𤷞	khmp
𤠙	khmrr
𤢿	khmrr
𤞟	khmrt
𤞱	khmso
𤜸	khmsu
𤜵	khmt
𤢵	khmtb
𤞤	khmth
𤷝	khmu
𤝃	khmvi
𤜷	khmvm
𤠫	khmwd
𤢂	khmwd
𤡑	khmwf
𤟯	khmwl
𠘮	khn
𤴪	khn
𤡸	khnao
𦫞	khnau
𤞴	khnbq
𤜭	khnd
𤜯	khnhe
𤜠	khnhs
𤟅	khnhx
𤝩	khnih
𤝉	khnin
𤝻	khnin
𤜢	khnj
𤝇	khnki
𤜡	khnl
𤝠	khnl
𤡪	khnlb
𤢩	khnlb
𤠴	khnlu
𤟘	khnme
𤝆	khno
𤟠	khnob
𤢈	khnot
𤜾	khnq
𤟣	khnst
𤜿	khnu
𤟛	khnui
𤞁	khnuu
𤣃	khnwa
𤟱	khoae
𤜽	khob
𤺇	khob
𤼊	khoc
𤝦	khodh
𤝔	khodi
𤶣	khoe
𤝝	khof
𤷮	khog
𤞆	khohl
𤞗	khohq
𤹬	khoi
𤝯	khoik
𤜰	khoin
𤞻	khoir
𤷸	khol
𤠣	kholk
𤞘	khomg
𤜰	khomn
𤝰	khomr
𤸭	khoo
𤢾	khoon
𤝧	khopi
𤷑	khor
𤺥	khor
𤝳	khosk
𤞦	khowy
𤢌	khoyb
𤴱	khp
𤢉	khpbk
𤜣	khpd
𤜩	khph
𤻦	khpi
𤜼	khpim
𤜼	khpmm
𤜻	khpp
𤡧	khppp
𤠮	khpuu
𤟼	khpyr
𤵃	khq
𤞖	khqd
𤠵	khqhq
𤟻	khqht
𤯗	khqm
𤵙	khqm
𤠚	khqmf
𡙍	khqu
𤜨	khqu
𤹌	khrb
𤠔	khrbc
𤝖	khrc
𤞥	khrd
𤸼	khrf
𤞪	khrhr
