芟	thne
芃	thni	thn'i
葻	thni	thn'i
蒣	thod
蕧	thoe
薇	thok
藢	thok
蓹	thol
荇	thon
蘅	thon
葕	thon
蓯	thoo
蓗	thoo
蓰	thoo
蓏	thoo
葎	thoq
茚	thpl
茋	thpm
莪	thqi
苼	thqm
苵	thqo
芼	thqu
蒒	thrb
薛	thrj
芦	ths
萹	thsb
菺	thsb
蒑	thse
薂	thsk
蔰	thsu
蘈	thuc
蒐	thui
蒠	thup
蘶	thvi
茋	thvi
苽	thvo
芪	thvp
蔸	thvu
萆	thwj
蔥	thwp
蓖	thwp
藇	thxc
蓃	thxe
蕮	thxf
萸	thxo
萖	thxu
蒰	thye
莨	tiav
蒪	tibi
荾	tice
藦	ticq
蘑	ticr
蘼	ticy
蔴	tidd
藦	tidq
蘑	tidr
蘼	tidy
茂	tih
鷷	tihaf
鷀	tihaf
蕆	tihc
荗	tihi
菧	tihi
菧	tihm
蒇	tiho
葴	tihr
蒧	tihr
荿	tihs
蔵	tihs
葳	tihv
菚	tii
蓢	tiib
蔘	tiih
蓈	tiil
茙	tij
莆	tijb
蔴	tijc
莍	tije
芆	tik
茇	tike
蒍	tikf
茇	tikk
茏	tikp
莽	tikt
蓭	tiku
菮	tilo
蓎	tilr
蓤	time
茨	timo
藏	tims
芝	tino
薋	tioc
薬	tiod
蓙	tiog
懟	tip
芅	tip
蘪	tipd
藨	tipf
薼	tipg
鹚	tipym
