䏕	bmg
䪶	bmmbc
䏡	bmmf
䏸	bmmr
䏓	bmmu
䢸	bmnl
䐁	bmso
㥯	bmsp
䐶	bmua
㓂	bmuv
䐺	bmwj
㐍	bn
䏔	bng
䏜	bnhe
䐄	bnhx
䏧	bnin
䏖	bnl
䐂	bnme
䐞	bnmm
䢆	bnmvi
㬹	bnsd
䐳	bnwf
䞎	boaa
䏑	bobo
䏫	bod
䐪	bogs
䞌	bohjr
䑎	boim
㬳	boj
䍃	boju
䐰	bolb
㒷	bomc
䏗	bomn
䏩	bomr
䞐	boqka
䞍	boqmb
䞏	bowp
䏟	bph
䐇	bpha
䏛	bpim
䏛	bpmm
䏶	bppg
䐑	bptd
䐢	bpuu
䴄	bqhaf
䑟	bqhag
䐼	bqhf
䏳	bqhl
䐏	bqka
䏾	bqkq
䏝	bqni
䐣	brbc
䌛	brhvf
㢥	brip
㓮	brln
䐷	brrj
㖯	brrp
㬽	brrs
䐕	brsj
䏘	bsc
㷡	bsf
䐖	bsfd
䏰	bsip
䏪	bsj
䐲	bsma
䏤	bsmr
䐅	bsok
䑀	bsrj
䏱	bssr
䍏	bt
䑃	btbo
㬴	btc
䐽	btlb
䐵	btlc
䐙	btlj
䐵	btmc
㬸	btop
㒺	btov
䑆	btov
䐤	btqm
䑏	btrg
䐟	bttb
䐬	btwa
䑅	btwn
㬻	btyu
䐠	btyu
䁜	buafu
䁙	buajv
䁑	buamh
䁡	buano
䁔	bubme
䁘	bubou
䀠	bubu
䂄	bubue
䂂	bubug
䂃	bubwi
䀰	bucor
䁬	bucwa
䙷	budi
䙸	budi
