𥐢	mru
𥑯	mrubb
𥑓	mruc
𥓻	mruce
𥔗	mrumb
𥓤	mrupu
𥗿	mruwg
𥖱	mruyb
𥑌	mrve
𥘂	mrvfk
𠮎	mrvhe
𥑑	mrvis
𦧫	mrvno
𡂤	mrvo
𥕘	mrvvd
𥓱	mrvvm
𥒤	mrvvu
𥓲	mrvvw
𥔥	mrvvw
𥓄	mrwg
𥓓	mrwhj
𥕏	mrwim
𥖏	mrwjc
𥑐	mrwl
𥔘	mrwlb
𥗴	mrwlg
𥖠	mrwli
𡈧	mrwm
𥔅	mrwol
𥔆	mrwoo
𦧲	mrwvf
𥗼	mrwwf
𥗬	mrwwg
𥐚	mry
𥖤	mrybb
𥕐	mrycb
𥕦	mrycv
𥗭	mrydg
𥕖	mrydl
𥗒	mrydu
𢾵	mrye
𥕈	mryhn
𥑴	mryhv
𧙑	mryhv
𦧢	mryid
𥒝	mryiu
𣁳	mryj
𥐿	mryj
𥕁	mrykj
𥒼	mrylh
𥓢	mrylo
𣥔	mrym
𥖋	mrymm
𥗊	mrymu
𧾸	mryo
𥗌	mryon
𥓽	mrypd
𥕕	mrypd
𥔮	mrypk
𥕑	mrypm
𥕰	mrypm
𥖼	mrypp
𥓯	mryps
𥓚	mrypu
𥗝	mryrv
𥓴	mrysk
𥕞	mrytj
𥔎	mrytr
𥕮	mryub
𥐞	mryv
𥗯	mryvn
𥔯	mrywr
𥖭	mryx
𥑃	mryy
𥖾	mryyb
𢀕	ms
𦘼	msb
𠪘	msbe
𥁄	msbt
𥁶	msbt
𧶝	msbuc
𤦲	msd
𠄯	msdm
𦃢	msef
𤎂	msf
𠫑	msff
𡋲	msg
𪄮	mshaf
𩅞	mshjg
𧰧	msho
𪕢	mshxv
𠪡	msja
𠫀	msjg
𠫇	msjp
𠩑	mskp
𠰶	mskr
𠠿	msks
𠨳	msli
𧊪	mslmi
𠞯	msln
