𤕁	bubrr
𥁺	bubt
𥂽	bubt
𧠦	bubu
𥆘	bubuc
𪄊	bubuf
𥆢	bubup
𧡾	bubuu
𥉐	bubvk
𥋁	bubwu
𦚃	buc
𥇶	buc
𦡙	buce
𥌹	buchb
𥄖	bucj
𥅎	bucms
𥈕	bucmt
𧢊	bucro
𥆟	bucru
𣐥	bud
𥄢	bud
𥋴	buddf
𥌞	buddk
𥌿	budfe
𥉯	budgg
𥅗	budhe
𥇦	budhl
𥃷	budi
𥈙	budln
𥈡	budmf
𥆪	budr
𥈵	budwf
𥃫	bue
𥆣	bue
𥇄	buebu
𥊗	bueff
𥇇	buefh
𥋐	buehu
𥄗	bueii
𥆀	buem
𥆚	buemg
𥋕	bueot
𥉪	bueoy
𥈰	buetc
𡭨	buf
𤊯	buf
𥄣	buf
𥄧	buf
𥉤	bufav
𥊲	bufbd
𥊼	bufbh
𥋗	bufbk
𥊰	bufbo
𥋇	bufbq
𥅼	bufd
𥌨	bufdc
𥍆	buffe
𥍏	bufff
𥌴	buffi
𥌌	buffq
𪃦	bufhf
𦠔	bufl
𥇫	bufme
𥆄	bufmu
𥉋	bufqe
𥆵	buft
𥃾	bug
𥅆	bugb
𥌪	bugbc
𥋿	bugcc
𧠴	bugdi
𥉖	buggp
𥊝	bugji
𥌆	bugni
𥊖	bugog
𥆮	bugug
𥌚	bugwc
𥆥	bugyo
𥉼	buhad
𪄙	buhaf
𥆒	buhau
𥌣	buhbf
𥇕	buhbn
𥅧	buhbt
𧖺	buhbt
𥊙	buhce
𡕥	buhe
𥈍	buhe
𥅹	buheb
𥋘	buhfb
𥌛	buhhe
𢒎	buhhh
𠖝	buhhi
𥄸	buhhl
𥃶	buhhn
𥌐	buhhp
𥉨	buhhu
𧡒	buhhv
𥉳	buhhw
𥃼	buhi
