𠥝	srre
𠥡	srrr
𪓩	srrxu
𠥺	srsrr
𡂬	srtlm
𡞺	srv
𡠷	srv
𡲍	srvs
𦌺	srwlv
𠧙	sry
𠧬	sry
𧿃	sryo
𨐓	srytj
𨐚	srytj
𨐫	srytj
𡳄	sryw
𡰲	ss
𠕄	ssb
𣇶	ssba
𡬡	ssdi
𢑧	ssdl
𢀲	ssdlc
𢑬	ssdoo
𠭜	sse
𡰻	sse
𡱊	sse
𡭳	ssf
𤉎	ssf
𢑫	ssgcg
𠥭	ssh
𩿝	sshaf
𪀫	sshaf
𩿮	sshaf
𢑵	sshdw
𣪐	sshne
𢀦	sshsl
𢀬	ssiib
𢀨	ssiil
𡰳	ssim
𢑶	ssioh
𢑻	ssios
𡱡	ssj
𡱾	ssje
𢀭	ssjjb
𡱷	ssju
𢑝	sslbu
𦉭	sslu
𠥦	ssmc
𢑽	ssmff
𡳇	ssmh
𦞋	ssmkb
𠝧	ssmsh
𢎧	ssn
𢀱	ssnfd
𡖩	ssnin
𨛃	ssnl
𢑮	ssnoo
𦐯	ssobm
𨿉	ssog
𢼑	ssok
𢀧	ssomb
𢑠	ssopd
𢀥	ssqjl
𡳟	ssru
𪓥	ssrxu
𡰺	sssh
𦐱	sssmm
𢑰	sssms
𠃬	ssss
𢍴	sst
𦍽	sstq
𤉡	ssuf
𠚆	ssul
𧰽	ssuo
𦀧	ssvif
𡳚	sswm
𦐮	ssya
𨐕	ssytj
𠙐	stbhn
𡱒	stc
𡲚	stcw
𡮻	stfh
𡮼	stfh
𪇖	sthaf
𣱄	sthqu
𡱗	sti
𡲢	stkr
𧒝	stli
𠝭	stln
𠥊	stmc
𤭸	stmvn
𢼷	stok
𡱝	stq
𠥤	strw
𡱞	stu
𠥙	stwi
𪚁	stymu
𡲉	sua
𡲊	sub
𨤔	subd
