喩	romv
吃	ron
喉	ronk
郧	ronl
唑	roog
吪	rop
咃	ropd
哗	ropj
哖	roq
噏	rorm
嗱	rorq
啽	rort
咋	ros
咿	rosk
呛	rosu
嘸	rotf
嚹	roud
嗰	rowr	row'r
噙	royb
叱	rp
吣	rp
咰	rpa
昬	rpa
哛	rpcsh
吔	rpd
咇	rph
鴖	rphaf
吻	rphh
唿	rphp
呁	rpim
蟁	rplii
刡	rpln
呁	rpmm
敃	rpok
啕	rpou
吡	rpp
喈	rppa
哔	rppj
呴	rpr
咆	rpru
呭	rpt
喋	rptd
吨	rpu
噸	rpuc
哅	rpuk	rpu'k
呜	rpvm
鸣	rpym
啪	rqha
噄	rqhf
喫	rqhk
哳	rqhl
囓	rqhu
嘒	rqjm
嚖	rqjp
嘒	rqjs
嚽	rqkc
嗪	rqkd
唪	rqkq
啨	rqmb
嘖	rqmc
唛	rqme
嗉	rqmf
咑	rqmn
啧	rqmo
呋	rqo
嗷	rqsk
唞	rqyj
啦	rqyt
吕	rr
吅	rr
唈	rrau
斝	rrbyj
呮	rrc
喣	rrf
鷺	rrhaf
咒	rrhn
呪	rrhu
哭	rrik
獸	rrik
器	rrikr
喌	rrill
囂	rrmcr
嚻	rrmcr
嚴	rrmmk
咢	rrmms
嚴	rrmnk
嚣	rrmor
噐	rrmrr
呺	rrms
郘	rrnl
骂	rrnvm
鹭	rrpym
品	rrr
噪	rrrd
喿	rrrd
嘽	rrrj
碞	rrrr
喦	rrru
嵒	rrru
嚚	rrslr
