𩮙	shtsj
𩬸	shtu
𩰇	shtue
𩯄	shtwi
𩯼	shtwu
𠑶	shu
𡴻	shu
𩫺	shu
𩯣	shuce
𩭢	shumj
𩮖	shumt
𩮴	shuog
𠥣	shus
𩬢	shuu
𩭎	shuys
𡠢	shv
𩯪	shvfr
𩬗	shvis
𢒥	shvl
𠥯	shvp
𩯓	shvvn
𩬷	shvvu
𩭋	shwd
𩭇	shwg
𩯗	shwgf
𠥉	shwj
𡲎	shwj
𩬍	shwj
𩮐	shwlb
𩮒	shwls
𩯴	shwlv
𡲮	shwp
𩮪	shwtp
𩮹	shwvf
𤃻	shwwe
𩭟	shyaj
𩰀	shybp
𩯀	shydl
𩯞	shyed
𩮲	shyhm
𩬿	shyhv
𩯈	shyia
𩮲	shykm
𩮣	shymy
𩬄	shyo
𩯜	shyps
𩬑	shyr
𩫉	shyrb
𩮘	shyrb
𥪻	shyt
𩬦	shyt
𩮋	shyta
𩮗	shytt
𩯤	shywm
𢦐	si
𨲞	siahn
𨲎	siaph
𨲩	siawe
𡱑	sib
𨱠	sib
𨱤	sibhn
𨲌	sibsd
𨱸	sibtt
𨱪	sibyi
𡱥	sice
𨱛	sici
𨱹	sicje
𨲯	sicwa
𨲥	sicwq
𣏉	sid
𣔿	sid
𨱣	siee
𤆕	sif
𨲆	sifb
𨲮	siffs
𨲓	sifhu
𨲏	sifqu
𡉔	sig
𨲂	siglc
𨱻	sigr
𨱺	sigt
𨱶	sigug
𪈺	sihaf
𩡛	sihda
𨲚	sihdg
𨲿	sihec
𨲐	sihem
𨱴	siher
𨱷	sihgu
𩯫	sihhc
𩮊	sihhn
𩬂	sihho
𩬬	sihht
𨱳	sihie
𨱳	sihik
𨲉	sihjm
𨲭	sihkb
𨲁	sihkf
𨱩	sihkk
𨲡	sihmt
