ヶ	zd
Α	zf
Β	zf
Γ	zf
Δ	zf
Ε	zf
Ζ	zf
Η	zf
Θ	zf
Ι	zf
Κ	zf
Λ	zf
Μ	zf
Ν	zf
Ξ	zf
Ο	zf
Π	zf
Ρ	zf
Σ	zf
Τ	zf
Υ	zf
Φ	zf
Χ	zf
Ψ	zf
Ω	zf
α	zf
β	zf
γ	zf
δ	zf
ε	zf
ζ	zf
η	zf
θ	zf
ι	zf
κ	zf
λ	zf
μ	zf
ν	zf
ξ	zf
ο	zf
π	zf
ρ	zf
σ	zf
τ	zf
υ	zf
φ	zf
χ	zf
ψ	zf
ω	zf
︵	zf
︶	zf
︹	zf
︺	zf
︿	zf
﹀	zf
︽	zf
︾	zf
﹁	zf
﹂	zf
﹃	zf
﹄	zf
︻	zf
︼	zf
︷	zf
︸	zf
︱	zf
	zf
︳	zf
︴	zf
А	zg
Б	zg
В	zg
Г	zg
Д	zg
Е	zg
Ё	zg
Ж	zg
З	zg
И	zg
Й	zg
К	zg
Л	zg
М	zg
Н	zg
О	zg
П	zg
Р	zg
С	zg
Т	zg
У	zg
Ф	zg
Х	zg
Ц	zg
Ч	zg
Ш	zg
Щ	zg
Ъ	zg
Ы	zg
Ь	zg
Э	zg
