髯	shgb
髻	shgr
鷚	shhaf
鳭	shhaf
鬏	shhdf
鬁	shhdn
髼	shhej
鬚	shhhc
髺	shhjr
髠	shhn
髦	shhqu
刃	shi
戮	shi
鬖	shiih
髮	shike
髮	shikk
鬒	shjbc
鬢	shjmc
鬃	shjmf
鬓	shjoc
鬐	shjpa
鬡	shjpn
鬍	shjrb
髪	shke
鬌	shkmb
勠	shks
属	shlb
髧	shlbu
髴	shlln
剹	shln
顟	shmbc
髵	shmbl	shmb'l
髬	shmfm
匠	shml	s'hml
髩	shmls
髨	shmmu
髡	shmu
凥	shn
髳	shnih
鄝	shnl
鬇	shnsd
屩	shob
髹	shod
屧	shod
履	shoe
屐	shoe
雡	shog
鬠	shoma
鬂	shomc
屣	shoo
髽	shoog
屜	shot
屨	shov
屦	shov
髢	shpd
髱	shpru
髰	shpt
鹨	shpym
鬊	shqka
尾	shqu
召	shr
匾	shsb	s'hsb
脋	shshb
刕	shshh
髫	shshr
髶	shsj
鬕	shtak
鬋	shtbn
髸	shtc
鬗	shtlb
髷	shtw
鬞	shtwv
鬑	shtxc
鬉	shuce
鬣	shvvv
鬛	shwkv
鬟	shwlv
鬔	shyhj
髣	shyhs
髭	shymp
鬤	shyrv
監	sibt
覧	sibuu
鍳	sic
熨	sif
髟	sihhh
镺	sihk
斸	sihml
犚	sihq
镻	sihqo
镽	sikcf
蠿	silii
螱	silmi
劚	siln
肆	silq
习	sim
镾	simfb
瓺	simvn
鄩	sinl
镹	sino
